indicator,year,fips,location,age,vaccine,percent,population 
Childhood immunizations,2015,27000,Minnesota,Childhood (24-35 months),DTap,67.8,73691
Childhood immunizations,2015,27000,Minnesota,Childhood (24-35 months),Hep A,33,73691
Childhood immunizations,2015,27000,Minnesota,Childhood (24-35 months),Hep B,78.9,73691
Childhood immunizations,2015,27000,Minnesota,Childhood (24-35 months),Hib,75,73691
Childhood immunizations,2015,27000,Minnesota,Childhood (24-35 months),MMR,78.5,73691
Childhood immunizations,2015,27000,Minnesota,Childhood (24-35 months),PCV,75.1,73691
Childhood immunizations,2015,27000,Minnesota,Childhood (24-35 months),Polio,81.6,73691
Childhood immunizations,2015,27000,Minnesota,Childhood (24-35 months),Rotavirus,67.8,73691
Childhood immunizations,2015,27000,Minnesota,Childhood (24-35 months),Seven vaccine series,59,73691
Childhood immunizations,2015,27000,Minnesota,Childhood (24-35 months),Varicella,80.6,73691
Childhood immunizations,2016,27000,Minnesota,Childhood (24-35 months),DTap,67.7,74776
Childhood immunizations,2016,27000,Minnesota,Childhood (24-35 months),Hep A,35,74776
Childhood immunizations,2016,27000,Minnesota,Childhood (24-35 months),Hep B,78.8,74776
Childhood immunizations,2016,27000,Minnesota,Childhood (24-35 months),Hib,75.3,74776
Childhood immunizations,2016,27000,Minnesota,Childhood (24-35 months),MMR,78.4,74776
Childhood immunizations,2016,27000,Minnesota,Childhood (24-35 months),PCV,75.1,74776
Childhood immunizations,2016,27000,Minnesota,Childhood (24-35 months),Polio,80.5,74776
Childhood immunizations,2016,27000,Minnesota,Childhood (24-35 months),Rotavirus,67.5,74776
Childhood immunizations,2016,27000,Minnesota,Childhood (24-35 months),Seven vaccine series,60.1,74776
Childhood immunizations,2016,27000,Minnesota,Childhood (24-35 months),Varicella,80.1,74776
Childhood immunizations,2017,27000,Minnesota,Childhood (24-35 months),DTap,67.9,74406
Childhood immunizations,2017,27000,Minnesota,Childhood (24-35 months),Hep A,36.7,74406
Childhood immunizations,2017,27000,Minnesota,Childhood (24-35 months),Hep B,79.9,74406
Childhood immunizations,2017,27000,Minnesota,Childhood (24-35 months),Hib,77.7,74406
Childhood immunizations,2017,27000,Minnesota,Childhood (24-35 months),MMR,79.9,74406
Childhood immunizations,2017,27000,Minnesota,Childhood (24-35 months),PCV,76.1,74406
Childhood immunizations,2017,27000,Minnesota,Childhood (24-35 months),Polio,80.9,74406
Childhood immunizations,2017,27000,Minnesota,Childhood (24-35 months),Rotavirus,67.7,74406
Childhood immunizations,2017,27000,Minnesota,Childhood (24-35 months),Seven vaccine series,60.9,74406
Childhood immunizations,2017,27000,Minnesota,Childhood (24-35 months),Varicella,82.5,74406
Childhood immunizations,2018,27000,Minnesota,Childhood (24-35 months),DTap,73.3,74717
Childhood immunizations,2018,27000,Minnesota,Childhood (24-35 months),Hep A,40.6,74717
Childhood immunizations,2018,27000,Minnesota,Childhood (24-35 months),Hep B,80.9,74717
Childhood immunizations,2018,27000,Minnesota,Childhood (24-35 months),Hib,85,74717
Childhood immunizations,2018,27000,Minnesota,Childhood (24-35 months),MMR,85,74717
Childhood immunizations,2018,27000,Minnesota,Childhood (24-35 months),PCV,80.9,74717
Childhood immunizations,2018,27000,Minnesota,Childhood (24-35 months),Polio,85.1,74717
Childhood immunizations,2018,27000,Minnesota,Childhood (24-35 months),Rotavirus,72.2,74717
Childhood immunizations,2018,27000,Minnesota,Childhood (24-35 months),Seven vaccine series,67.8,74717
Childhood immunizations,2018,27000,Minnesota,Childhood (24-35 months),Varicella,85.5,74717
Childhood immunizations,2019,27000,Minnesota,Childhood (24-35 months),DTap,74.5,72494
Childhood immunizations,2019,27000,Minnesota,Childhood (24-35 months),Hep A,42.7,72494
Childhood immunizations,2019,27000,Minnesota,Childhood (24-35 months),Hep B,86.1,72494
Childhood immunizations,2019,27000,Minnesota,Childhood (24-35 months),Hib,81.4,72494
Childhood immunizations,2019,27000,Minnesota,Childhood (24-35 months),MMR,83.8,72494
Childhood immunizations,2019,27000,Minnesota,Childhood (24-35 months),PCV,81.9,72494
Childhood immunizations,2019,27000,Minnesota,Childhood (24-35 months),Polio,86.6,72494
Childhood immunizations,2019,27000,Minnesota,Childhood (24-35 months),Rotavirus,74.3,72494
Childhood immunizations,2019,27000,Minnesota,Childhood (24-35 months),Seven vaccine series,69.2,72494
Childhood immunizations,2019,27000,Minnesota,Childhood (24-35 months),Varicella,86.2,72494
Childhood immunizations,2015,27001,Aitkin,Childhood (24-35 months),DTap,71.2,104
Childhood immunizations,2015,27001,Aitkin,Childhood (24-35 months),Hep A,22.1,104
Childhood immunizations,2015,27001,Aitkin,Childhood (24-35 months),Hep B,88.5,104
Childhood immunizations,2015,27001,Aitkin,Childhood (24-35 months),Hib,88.5,104
Childhood immunizations,2015,27001,Aitkin,Childhood (24-35 months),MMR,89.4,104
Childhood immunizations,2015,27001,Aitkin,Childhood (24-35 months),PCV,85.6,104
Childhood immunizations,2015,27001,Aitkin,Childhood (24-35 months),Polio,90.4,104
Childhood immunizations,2015,27001,Aitkin,Childhood (24-35 months),Rotavirus,67.3,104
Childhood immunizations,2015,27001,Aitkin,Childhood (24-35 months),Seven vaccine series,64.4,104
Childhood immunizations,2015,27001,Aitkin,Childhood (24-35 months),Varicella,86.5,104
Childhood immunizations,2016,27001,Aitkin,Childhood (24-35 months),DTap,75,88
Childhood immunizations,2016,27001,Aitkin,Childhood (24-35 months),Hep A,35.2,88
Childhood immunizations,2016,27001,Aitkin,Childhood (24-35 months),Hep B,92,88
Childhood immunizations,2016,27001,Aitkin,Childhood (24-35 months),Hib,84.1,88
Childhood immunizations,2016,27001,Aitkin,Childhood (24-35 months),MMR,87.5,88
Childhood immunizations,2016,27001,Aitkin,Childhood (24-35 months),PCV,85.2,88
Childhood immunizations,2016,27001,Aitkin,Childhood (24-35 months),Polio,90.9,88
Childhood immunizations,2016,27001,Aitkin,Childhood (24-35 months),Rotavirus,72.7,88
Childhood immunizations,2016,27001,Aitkin,Childhood (24-35 months),Seven vaccine series,71.6,88
Childhood immunizations,2016,27001,Aitkin,Childhood (24-35 months),Varicella,87.5,88
Childhood immunizations,2017,27001,Aitkin,Childhood (24-35 months),DTap,65.2,112
Childhood immunizations,2017,27001,Aitkin,Childhood (24-35 months),Hep A,33,112
Childhood immunizations,2017,27001,Aitkin,Childhood (24-35 months),Hep B,86.6,112
Childhood immunizations,2017,27001,Aitkin,Childhood (24-35 months),Hib,80.4,112
Childhood immunizations,2017,27001,Aitkin,Childhood (24-35 months),MMR,86.6,112
Childhood immunizations,2017,27001,Aitkin,Childhood (24-35 months),PCV,83,112
Childhood immunizations,2017,27001,Aitkin,Childhood (24-35 months),Polio,85.7,112
Childhood immunizations,2017,27001,Aitkin,Childhood (24-35 months),Rotavirus,71.4,112
Childhood immunizations,2017,27001,Aitkin,Childhood (24-35 months),Seven vaccine series,64.3,112
Childhood immunizations,2017,27001,Aitkin,Childhood (24-35 months),Varicella,89.3,112
Childhood immunizations,2018,27001,Aitkin,Childhood (24-35 months),DTap,71.8,110
Childhood immunizations,2018,27001,Aitkin,Childhood (24-35 months),Hep A,33.6,110
Childhood immunizations,2018,27001,Aitkin,Childhood (24-35 months),Hep B,85.5,110
